,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,stab_1,Data,Data,Data,num
391,0,1,1,0,0,0,1,0,1,1,1,0,0,1
392,1,0,0,0,0,0,0,0,0,1,0,1,0,5
393,0,0,1,1,1,0,0,1,0,0,0,0,0,32
394,0,0,0,1,0,0,0,1,1,1,0,0,0,14
395,1,0,1,0,0,0,1,0,1,1,0,1,0,1
396,0,0,1,0,1,0,1,0,0,0,0,1,0,5
397,1,1,0,0,0,0,0,1,0,0,0,1,0,12
398,1,1,1,0,1,0,0,1,1,1,0,0,0,1
399,1,0,1,0,1,0,0,0,0,1,0,0,0,3
400,0,1,0,0,0,1,0,1,0,0,1,0,0,3
401,0,0,1,0,0,0,0,1,0,1,0,1,0,57
402,1,1,0,1,1,0,0,0,0,0,0,0,0,8
403,0,0,1,1,1,1,0,1,0,0,0,0,0,4
404,1,0,0,0,0,0,0,0,1,1,1,0,0,11
405,0,1,1,1,0,0,1,0,0,0,0,0,0,8
406,0,1,0,1,1,0,0,1,1,0,0,0,0,2
407,1,1,0,1,1,0,0,0,1,0,0,0,0,3
408,0,0,1,0,0,0,1,1,1,1,0,1,0,7
409,0,0,1,0,1,0,0,1,1,0,0,1,0,25
410,0,0,0,0,1,1,0,1,1,0,0,0,0,2
411,0,0,0,0,1,0,0,1,1,1,0,0,0,20
412,0,0,0,0,0,1,0,0,0,0,0,1,0,18
413,1,1,1,1,0,0,0,0,0,0,0,0,1,1
414,1,0,0,1,1,0,0,1,1,0,0,0,1,1
415,0,0,0,0,1,1,0,0,0,0,0,1,0,9
416,1,0,1,0,0,0,0,0,0,1,1,1,0,2
417,1,0,1,0,1,0,0,1,1,1,0,1,0,4
418,0,0,0,0,1,0,0,1,1,1,0,1,0,11
419,0,0,0,1,0,0,0,1,0,0,0,1,0,21
420,0,0,0,0,0,1,0,0,1,1,1,0,0,2
421,0,0,1,0,0,1,0,0,1,0,1,1,0,1
422,0,0,0,0,0,0,1,1,0,0,0,0,1,17
423,1,0,0,0,0,1,1,1,0,0,0,0,0,5
424,1,0,0,1,0,0,0,1,0,0,1,1,0,3
425,1,0,1,0,1,0,0,0,0,0,1,0,0,17
426,0,1,1,0,0,1,0,0,0,0,0,0,0,5
427,0,0,1,1,1,0,1,1,0,0,0,0,0,2
428,1,0,0,0,0,0,0,0,1,0,0,1,0,13
429,0,0,0,1,0,0,0,0,0,0,1,1,0,6
430,0,1,1,1,0,0,0,0,1,0,0,0,0,12
431,0,0,0,0,1,1,0,1,0,0,0,0,0,4
432,0,0,0,0,0,1,0,1,1,0,0,0,0,6
433,0,0,0,1,1,0,0,0,0,1,0,0,0,15
434,0,1,1,1,0,0,0,0,1,0,0,1,0,4
435,0,1,1,0,1,0,1,0,1,0,0,0,0,1
436,0,1,0,0,0,0,1,0,0,0,0,0,0,28
437,0,1,1,1,0,0,0,1,0,1,0,0,0,3
438,1,1,0,0,0,0,0,0,1,0,1,0,0,6
439,0,0,1,0,0,0,1,0,0,0,0,1,0,11
440,0,0,0,0,0,0,0,1,1,1,0,0,1,13
441,0,1,0,1,0,0,0,0,0,1,0,1,0,2
442,0,0,1,0,1,0,0,0,1,0,0,0,0,10
443,0,0,1,0,0,1,0,0,0,0,1,0,0,33
444,0,0,0,0,0,0,0,1,0,1,1,1,0,10
445,1,0,0,0,1,0,1,0,0,0,0,0,0,4
446,0,1,1,1,0,0,0,0,0,0,0,0,1,2
447,0,0,0,1,0,0,0,1,1,0,0,0,0,7
448,0,0,0,0,0,0,0,1,1,1,1,1,0,14
449,1,0,1,0,1,0,0,1,0,0,0,1,0,18
